Model_Name,Video_ID,Subject Consistency,Aesthetic Quality,Image Quality,Background Consistency,Dynamic Degree,Interaction Quality,Perspectivity,Instruction Following,Semantic Alignment,Action Following,Flow Score,Depth Accuracy,Trajectory Accuracy,Photometric Consistency,Motion Smoothness,JEPA Similarity
ExpertPool_fresh40_p0_seed1,pick_dual_bottles_episode000000,0.8405200634151697,0.43556374311447144,0.5070260375223042,0.934100341796875,0.4225315542187542,0.8,1.0,0.4,0.95166,,0.39272499175078657,1.0,0.3126009693053312,0.09035148539452731,0.7959897640447683,0.8763599395751953
ExpertPool_fresh40_p0_seed1,click_bell_episode000008,0.8448251988738775,0.4253407120704651,0.562339571022693,0.9028045654296875,0.207206936210845,0.8,1.0,1.0,0.938477,,0.09652022540645755,1.0,0.9527586038086846,0.4484983736489741,0.7137618040396453,0.8763599395751953
ExpertPool_fresh40_p0_seed1,place_container_plate_episode000017,0.9179748471826314,0.3428955674171448,0.386969644052011,0.93043212890625,0.21673958061461257,0.8,1.0,1.0,0.868652,,0.06535477025383808,0.9984456170298677,0.8301757477847945,0.567911797812882,0.6141989773997681,0.8763599395751953
ExpertPool_fresh40_p0_seed1,open_laptop_episode000024,0.8389364097267389,0.379402220249176,0.6212336168171447,0.917901611328125,0.2719582467803417,0.8,1.0,1.0,0.839844,,0.13306340621325916,1.0,0.4764282567190483,0.3005324008297859,0.6808702319853667,0.8763599395751953
ExpertPool_fresh40_p0_seed1,put_bottles_dustbin_episode000038,0.8105019720271229,0.3448878526687622,0.4932568453565056,0.8929443359375,0.5415635290088338,0.8,1.0,0.6,0.902832,,0.5945842336583432,1.0,0.7103098839770892,0.01452461065123773,0.8347538582182196,0.8763599395751953
ExpertPool_fresh40_p0_seed1,move_can_pot_episode000001,0.9451078210026026,0.49258193373680115,0.5706640898151162,0.96063232421875,0.13699200380750748,0.8,1.0,1.0,0.850098,,0.04934068347134605,1.0,1.0,0.57198829223525,0.5282570896880496,0.8763599395751953
ExpertPool_fresh40_p0_seed1,place_burger_fries_episode000043,0.8364395555108786,0.4911746680736542,0.5283022063455465,0.901641845703125,0.4403077140539281,0.8,1.0,1.0,0.88916,,0.4008928717545948,1.0,1.0,0.0829291843205551,0.8888102205726851,0.8763599395751953
ExpertPool_fresh40_p0_seed1,move_stapler_pad_episode000013,0.795294963568449,0.4355112612247467,0.5071598304936915,0.8981231689453125,0.3797931602482576,0.6,0.8,0.4,0.999512,,0.20564877949069546,0.9869692479449413,0.6754295784990454,0.19016525300893497,0.770124353929392,0.8772410750389099
ExpertPool_fresh40_p0_seed1,move_pillbottle_pad_episode000032,0.8957605488598347,0.403278648853302,0.5124362969104155,0.9377532958984375,0.2346041032224866,0.8,1.0,1.0,0.857422,,0.09446224478008632,1.0,1.0,0.32344956996275975,0.6310137791166428,0.8772410750389099
ExpertPool_fresh40_p0_seed1,stack_blocks_three_episode000046,0.8325385540723801,0.45442262291908264,0.4792458152770996,0.915142822265625,0.5364537605129632,0.8,1.0,1.0,0.917969,,0.7377079072033506,0.9588962835679676,0.8993978557791159,0.01930086260830219,0.9225160828607003,0.8772410750389099
